,0,1,2,3,4,5,6,7,8,9
0,837,25,29,1,11,0,3,15,54,25
1,4,956,1,0,1,0,3,1,11,23
2,93,10,626,23,76,19,113,26,6,8
3,29,9,64,491,63,80,180,47,19,18
4,17,2,51,11,786,8,81,40,3,1
5,12,12,38,152,61,569,77,68,6,5
6,6,3,16,10,20,0,936,4,4,1
7,14,1,12,33,46,17,16,854,6,1
8,46,28,8,2,4,0,3,2,891,16
9,15,101,2,3,1,0,2,3,11,862
