,0,1,2,3,4,5,6,7,8,9
0,694,66,18,9,15,3,15,25,60,95
1,5,829,2,2,0,2,10,3,8,139
2,99,22,320,55,146,71,160,66,18,43
3,25,40,44,302,58,160,151,117,14,89
4,28,13,27,35,486,25,146,200,15,25
5,14,28,15,169,55,469,77,105,16,52
6,4,21,21,48,35,11,814,10,3,33
7,26,17,5,51,41,33,31,719,5,72
8,103,116,4,8,16,5,8,9,597,134
9,6,96,1,4,3,1,12,9,15,853
