,0,1,2,3,4,5,6,7,8,9
0,702,27,59,25,16,3,10,10,110,38
1,32,780,5,9,5,3,8,7,35,116
2,53,11,587,70,93,65,63,30,23,5
3,12,16,63,530,62,165,74,40,14,24
4,24,7,87,55,585,33,53,106,41,9
5,14,8,53,197,52,572,28,59,5,12
6,10,10,49,75,56,34,738,9,7,12
7,22,7,37,57,55,65,9,718,5,25
8,76,46,13,7,6,4,3,3,807,35
9,29,81,4,17,4,10,6,19,43,787
