,0,1,2,3,4,5,6,7,8,9
0,646,35,48,38,78,1,13,6,74,61
1,11,552,1,8,1,0,128,1,40,258
2,58,21,508,64,118,52,113,37,8,21
3,9,49,37,561,79,72,101,44,14,34
4,13,9,29,57,732,8,59,73,5,15
5,9,30,49,264,58,434,48,87,10,11
6,1,16,12,44,24,10,857,3,9,24
7,12,16,19,62,49,39,14,748,3,38
8,51,33,5,21,28,0,35,4,784,39
9,31,58,1,3,4,0,33,12,25,833
